,Linked Page,Directory Page,University,Entity,Maybe Uni
Victoria Nguyen,No Link,https://socialsciences.uchicago.edu/directory/victoria-nguyen,"Dr. Deirdre Lyons is a historian working on slavery and its afterlives in the Caribbean. Specializing in the French Antilles, her work examines how gender, race, and family shaped slavery, abolition, and emancipation over the course of the nineteenth century. Drawing on two years of archival research in France, Martinique, and Guadeloupe, her current book project analyzes slavery and abolition in the French Antilles. Dr. Lyons received her PhD in History from the University of Chicago, where she continues to teach courses that familiarize students with critical race and gender studies, the history of colonization and decolonization in the Atlantic world, slavery and its afterlives in the Americas, and social theory. She is currently working on her manuscript and preparing an article on enslaved women’s freedom suits in early-nineteenth-century Martinique and Guadeloupe.","[[('Deirdre Lyons', 'PERSON'), ('Caribbean', 'LOC')], [('French', 'NORP'), ('Antilles', 'PRODUCT'), ('the nineteenth century', 'DATE')], [('two years', 'DATE'), ('France', 'GPE'), ('Martinique', 'GPE'), ('Guadeloupe', 'PERSON'), ('French', 'NORP'), ('Antilles', 'PRODUCT')], [('Lyons', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('History', 'GPE'), ('the University of Chicago', 'ORG'), ('Atlantic', 'LOC'), ('Americas', 'LOC')], [('Martinique', 'GPE'), ('Guadeloupe', 'GPE')]]",the University of Chicago
Omar M. McRoberts,https://sociology.uchicago.edu/directory/omar-mcroberts,https://socialsciences.uchicago.edu/directory/omar-m-mcroberts,Harvard University,"[[('Harvard University', 'ORG')]]",Harvard University
Adrian D. S. Johns,https://history.uchicago.edu/directory/adrian-johns,https://socialsciences.uchicago.edu/directory/adrian-d-s-johns,University of Cambridge,"[[('University of Cambridge', 'ORG')]]",University of Cambridge
Karin Knorr Cetina,https://sociology.uchicago.edu/directory/karin-knorr-cetina,https://socialsciences.uchicago.edu/directory/karin-knorr-cetina,University of Vienna,"[[('University of Vienna', 'ORG')]]",University of Vienna
Parysa Mostajir,https://voices.uchicago.edu/pmostajir/,https://socialsciences.uchicago.edu/directory/parysa-mostajir,Still Working on This,[[]],University of California
Salikoko Mufwene,https://chss.uchicago.edu/directory/salikoko-s-mufwene,https://socialsciences.uchicago.edu/directory/salikoko-mufwene-0,Still Working on This,[[]],University of California
Robert J. Richards,https://chss.uchicago.edu/directory/robert-j-richards,https://socialsciences.uchicago.edu/directory/robert-j-richards,"""Nature is the Poetry of Mind, or How Schelling Solved Goethe's Kantian Problems."" In Kant and the Sciences, edited by Michael Friedman and Alfred Nordman. Cambridge, MA: MIT Press, 2005.","[[('Nature is the Poetry of Mind', 'WORK_OF_ART')], [('Kant', 'PERSON'), ('Sciences', 'ORG'), ('Michael Friedman', 'PERSON'), ('Alfred Nordman', 'PERSON')], [('Cambridge', 'GPE'), ('MA', 'GPE'), ('MIT Press', 'ORG'), ('2005', 'DATE')]]",MIT Press
Michael Rossi,https://history.uchicago.edu/directory/michael-rossi,https://socialsciences.uchicago.edu/directory/michael-rossi,Massachusetts Institute of Technology,"[[('Massachusetts Institute of Technology', 'ORG')]]",Massachusetts Institute of Technology
James T. Sparrow,https://history.uchicago.edu/directory/james-t-sparrow,https://socialsciences.uchicago.edu/directory/james-t-sparrow,Brown University,"[[('Brown University', 'ORG')]]",Brown University
Stephen Stigler,https://chss.uchicago.edu/directory/stephen-stigler,https://socialsciences.uchicago.edu/directory/stephen-stigler,Still Working on This,[[]],University of California
Susan C. Levine,https://psychology.uchicago.edu/directory/susan-c-levine,https://socialsciences.uchicago.edu/directory/susan-c-levine,"Susan Levine received her B.A. with honors from Simmons College in 1972, majoring in Psychology, Mathematics and Education and her Ph.D. in Psychology from M.I.T. in 1976. She joined the faculty at the University of Chicago that year. Professor Levine is the director of the UChicago Science of Learning Center.","[[('Susan Levine', 'PERSON'), ('B.A.', 'GPE'), ('Simmons College', 'ORG'), ('1972', 'DATE'), ('Ph.D. in Psychology', 'WORK_OF_ART'), ('M.I.T.', 'ORG'), ('1976', 'DATE')], [('the University of Chicago', 'ORG')], [('Levine', 'PERSON'), ('the UChicago Science of Learning Center', 'ORG')]]",the UChicago Science of Learning Center
Steven Levitt,https://economics.uchicago.edu/directory/steve-levitt,https://socialsciences.uchicago.edu/directory/steven-levitt,Massachusetts Institute of Technology,"[[('Massachusetts Institute of Technology', 'ORG')]]",Massachusetts Institute of Technology
John List,https://economics.uchicago.edu/directory/john-list,https://socialsciences.uchicago.edu/directory/john-list,University of Wyoming,"[[('University of Wyoming', 'ORG')]]",University of Wyoming
Derek A. Neal,https://economics.uchicago.edu/directory/derek-neal,https://socialsciences.uchicago.edu/directory/derek-neal,University of Virginia,"[[('University of Virginia', 'ORG')]]",University of Virginia
Stephen Raudenbush,https://sociology.uchicago.edu/directory/stephen-raudenbush,https://socialsciences.uchicago.edu/directory/stephen-raudenbush,"B.A. Harvard University, 1968
	Ed.M. Harvard University, 1980
	Ed.D. Harvard University, 1984","[[('B.A. Harvard University', 'ORG'), ('1968', 'DATE')], [('Ed', 'PERSON'), ('M. Harvard University', 'ORG'), ('1980', 'DATE')], [('Ed', 'PERSON'), ('Harvard University', 'ORG')]]",Harvard University
Margaret B. Spencer,https://humdev.uchicago.edu/directory/margaret-beale-spencer,https://socialsciences.uchicago.edu/directory/margaret-b-spencer,"I earned my PhD from the Committee on Human Development (currently the Department of Comparative Human Development) in the Child and Developmental Psychology Program. Before returning to Chicago, I was the endowed Board of Overseers Professor and Director of the Interdisciplinary Studies of Human Development (ISHD) program and faculty member in the Graduate School of Education at the University of Pennsylvania. At UPenn, I was Director of the University of Pennsylvania's Center for Health Achievement Neighborhoods Growth and Ethnic Studies (CHANGES) and also guided as its inaugural director, the W. E. B. Du Bois Collective Research Institute. Both appointments continue to frame my developmental scholarship and application of phenomenological variant of ecological systems theory (PVEST). It is a systems theory and, most important, is inclusive of all human experience and provides an identity-focused cultural ecological perspective. I evolved the theory over a decade because non-problematizing perspectives about people of color were generally unavailable.  Accordingly, P-VEST affords an authentic representation of human development processes both for Whites and People of Color as lives evolve in an ethnically, racially and economically diverse world. The conceptual framework addresses resiliency, identity, and competence formation processes for diverse humans—particularly youth—both in the United States and abroad.  ","[[('PhD', 'WORK_OF_ART'), ('the Committee on Human Development', 'ORG'), ('the Department of Comparative Human Development', 'ORG'), ('the Child and Developmental Psychology Program', 'ORG')], [('Chicago', 'GPE'), ('Board of Overseers Professor', 'ORG'), ('the Interdisciplinary Studies of Human Development', 'ORG'), ('ISHD', 'ORG'), ('the Graduate School of Education', 'ORG'), ('the University of Pennsylvania', 'ORG')], [('UPenn', 'GPE'), (""the University of Pennsylvania's"", 'ORG'), ('Center for Health Achievement Neighborhoods Growth and Ethnic Studies', 'ORG'), ('W. E. B. Du Bois', 'PERSON')], [], [], [('a decade', 'DATE')], [], [], [('the United States', 'GPE')]]",Center for Health Achievement Neighborhoods Growth and Ethnic Studies
Michael P.  Conzen,https://mapss.uchicago.edu/directory/michael-p-conzen-0,https://socialsciences.uchicago.edu/directory/michael-p-conzen,University of Wisconsin,"[[('University of Wisconsin', 'ORG')]]",University of Wisconsin
Gentry Jenkins,https://voices.uchicago.edu/gentryjenkins/,https://socialsciences.uchicago.edu/directory/gentry-jenkins,"I am a Teaching Fellow in the Committee on International Relations. I received my Ph.D. in Political Science from the University of Chicago in August 2020. My research interests involve international security and comparative politics and are currently centered on the connections between state-building and armed conflict with an emphasis on revolutionary regimes. My dissertation examines the conditions under which revolutionary state projects of centralization and social transformation trigger rebellions among ethnic groups and peasant communities in peripheral territories.  In addition to my doctoral studies, I have worked as a graduate research associate for the Chicago Project on Security and Threats, where I conducted research on the targeting strategies employed by militant groups. I also served for two years as the student coordinator for the Program on International Security Policy. I hold an M.A. in International Relations from the University of Chicago’s Committee on International Relations and a B.A. in History from the University of Idaho.","[[('a Teaching Fellow', 'PERSON'), ('the Committee on International Relations', 'ORG')], [('Ph.D.', 'FAC'), ('the University of Chicago', 'ORG'), ('August 2020', 'DATE')], [], [], [('the Chicago Project on Security and Threats', 'ORG')], [('two years', 'DATE'), ('the Program on International Security Policy', 'ORG')], [('M.A.', 'GPE'), ('the University of Chicago’s Committee on International Relations', 'ORG'), ('B.A.', 'GPE'), ('History', 'GPE'), ('the University of Idaho', 'ORG')]]",the University of Idaho
Steven Durlauf,https://harris.uchicago.edu/directory/steven-durlauf,https://socialsciences.uchicago.edu/directory/steven-durlauf,"Durlauf received a BA in economics from Harvard in 1980 where he was elected to Phi Beta Kappa and a Ph.D. in economics from Yale in 1986. He is a Fellow of the Econometric Society, Fellow of the Society for the Advancement of Economic Theory and a Research Associate of the National Bureau of Economic Research. In 2011, he was elected to the American Academy of Arts and Sciences. He is co-director of the Human Capital and Economic Opportunity Working Group, an international research network linking scholars across disciplines in the study of inequality and the sources of human flourishing and destitution. Durlauf is the current Editor of the Journal of Economic Literature.","[[('Harvard', 'ORG'), ('1980', 'DATE'), ('Phi Beta Kappa', 'ORG'), ('Ph.D.', 'FAC'), ('Yale', 'ORG'), ('1986', 'DATE')], [('the Econometric Society', 'ORG'), ('the National Bureau of Economic Research', 'ORG')], [('2011', 'DATE'), ('the American Academy of Arts and Sciences', 'ORG')], [('the Human Capital and Economic Opportunity Working Group', 'ORG')], [('the Journal of Economic Literature', 'ORG')]]",the Journal of Economic Literature
Ross M. Stolzenberg,https://sociology.uchicago.edu/directory/ross-m-stolzenberg,https://socialsciences.uchicago.edu/directory/ross-m-stolzenberg,University of Michigan,"[[('University of Michigan', 'ORG')]]",University of Michigan
Kazuo Yamaguchi,https://sociology.uchicago.edu/directory/kazuo-yamaguchi,https://socialsciences.uchicago.edu/directory/kazuo-yamaguchi,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Kaushik Sunder Rajan,https://anthropology.uchicago.edu/people/faculty//kaushik-sunder-rajan,https://socialsciences.uchicago.edu/directory/kaushik-sunder-rajan,Massachusetts Institute of Technology,"[[('Massachusetts Institute of Technology', 'ORG')]]",Massachusetts Institute of Technology
Russell H. Tuttle,https://anthropology.uchicago.edu/people/faculty/russell-h-tuttle,https://socialsciences.uchicago.edu/directory/russell-h-tuttle,University of California,"[[('University of California', 'ORG')]]",University of California
Susan Gal,https://anthropology.uchicago.edu/people/faculty/susan-gal,https://socialsciences.uchicago.edu/directory/susan-gal,University of California,"[[('University of California', 'ORG')]]",University of California
Ryan Jobson,https://anthropology.uchicago.edu/people/faculty/ryan-jobson,https://socialsciences.uchicago.edu/directory/ryan-jobson,Yale University,"[[('Yale University', 'ORG')]]",Yale University
John Kelly,https://anthropology.uchicago.edu/people/faculty/john-d-kelly,https://socialsciences.uchicago.edu/directory/john-kelly,University of Chicago,"[[('University of Chicago', 'ORG')]]",University of Chicago
Jill M. Mateo,https://humdev.uchicago.edu/directory/jill-mateo,https://socialsciences.uchicago.edu/directory/jill-m-mateo,"Professor Mateo is an Associate Professor, as well as the Committee on Evolutionary Biology, the Institute for Mind and Biology and the College. She received her doctorate in the field of Biopsychology, Evolution of Animal Behavior from the University of Michigan in 1995. Dr. Mateo was a Research Associate with the Department of Psychology at Cornell University (1996-2002).","[[('Mateo', 'PERSON'), ('the Committee on Evolutionary Biology', 'ORG'), ('the Institute for Mind and Biology', 'ORG'), ('the College', 'ORG')], [('the University of Michigan', 'ORG'), ('1995', 'DATE')], [('Mateo', 'PERSON'), ('the Department of Psychology at Cornell University', 'ORG'), ('1996-2002', 'DATE')]]",the Department of Psychology at Cornell University
Eugene A. Raikhel,https://humdev.uchicago.edu/directory/eugene-raikhel,https://socialsciences.uchicago.edu/directory/eugene-raikhel,Still Working on This,[[]],University of California
Scott Gehlbach,https://political-science.uchicago.edu/directory/scott-gehlbach,https://socialsciences.uchicago.edu/directory/scott-gehlbach,"Prior to coming to Chicago, Gehlbach was faculty at the University of Wisconsin–Madison for sixteen years. He has at various times been affiliated with both the New Economic School and the Higher School of Economics in Moscow. For the 2019–20 academic year, he is Visiting Professor, Economics Department, Sciences Po. His work has been supported by the National Science Foundation, two Fulbright-Hays Fellowships, and many other grants. He has been honored for his scholarship through numerous awards, including most recently the Michael Wallerstein Award for best article in political economy. Among other service to the profession, he is an associate editor of the Quarterly Journal of Political Science and organizer of the annual Summer Workshop in the Economic History and Historical Political Economy of Russia. Gehlbach received his PhD in political science and economics from the University of California–Berkeley.","[[('Chicago', 'GPE'), ('Gehlbach', 'GPE'), ('the University of Wisconsin', 'ORG'), ('Madison', 'PERSON'), ('sixteen years', 'DATE')], [('the New Economic School', 'ORG'), ('the Higher School of Economics', 'ORG'), ('Moscow', 'GPE')], [('the 2019–20 academic year', 'DATE'), ('Visiting Professor, Economics Department', 'ORG'), ('Sciences Po', 'PERSON')], [('the National Science Foundation', 'ORG'), ('two', 'CARDINAL')], [('Michael Wallerstein Award', 'PERSON')], [('the Quarterly Journal of Political Science', 'ORG'), ('annual', 'DATE'), ('Russia', 'GPE')], [('Gehlbach', 'GPE'), ('PhD', 'WORK_OF_ART'), ('the University of California–Berkeley', 'ORG')]]",the University of California–Berkeley
Adom Getachew,https://political-science.uchicago.edu/directory/adom-getachew,https://socialsciences.uchicago.edu/directory/adom-getachew,"Adom Getachew is Neubauer Family Assistant Professor of Political Science and the College at the University of Chicago. She is a political theorist with research interests in the history of political thought, theories of race and empire, and postcolonial political theory. Her work focuses on the intellectual and political histories of Africa and the Caribbean. Her first book, Worldmaking After Empire: The Rise and Fall of Self-Determination, reconstructs an account of self-determination offered in the political thought of Black Atlantic anticolonial nationalists during the height of decolonization in the twentieth century. Adom holds a joint PhD in Political Science and African-American Studies from Yale University. She is on the faculty board of the Pozen Center for Human Rights, a fellow at the Chicago Center for Contemporary Theory, and a faculty affiliate at the Center for the Study of Race, Politics and Culture.","[[('Neubauer Family', 'PERSON'), ('the College at the University of Chicago', 'ORG')], [], [('Africa', 'LOC'), ('Caribbean', 'LOC')], [('first', 'ORDINAL'), ('Worldmaking After Empire: The Rise and Fall of Self-Determination', 'WORK_OF_ART'), ('Black Atlantic', 'LOC'), ('the twentieth century', 'DATE')], [('PhD', 'WORK_OF_ART'), ('African', 'NORP'), ('Yale University', 'ORG')], [('the Pozen Center for Human\xa0Rights', 'ORG'), ('the Chicago Center for Contemporary Theory', 'ORG'), ('the Center for the Study of Race, Politics and Culture', 'ORG')]]","the Center for the Study of Race, Politics and Culture"
Jennifer Pitts,https://political-science.uchicago.edu/directory/jennifer-pitts,https://socialsciences.uchicago.edu/directory/jennifer-pitts,D Harvard,"[[('Harvard', 'ORG')]]",Harvard
Andrei Pop,https://socialthought.uchicago.edu/directory/andrei-pop,https://socialsciences.uchicago.edu/directory/andrei-pop,"Andrei Pop (B.A. Stanford, Ph.D. Harvard, Art History) has published a book entitled Antiquity, Theatre, and the Painting of Henry Fuseli (Oxford, 2015) on the romantic painter and writer Henry Fuseli, a translation of Karl Rosenkranz’s 1853 Aesthetics of Ugliness, and an edited volume on the history and theory of ugliness. His second monograph, A Forest of Symbols, concerns pictures as logical objects linking fantasy and fiction to activities like formulating and testing hypotheses, particularly during the late nineteenth century revolt against empiricism in art and mathematics. The symbol, understood both sensuously and conceptually, proved a focal point for investigating how the means of representation make possible a shared world of reasons and, what is more difficult, experiences. In the same vein, Pop is interested in the relation of art and science, in dramatic and narrative art (particularly in the classical tradition), and in how modernity deals with the past. These interests intersect with others in the logic of fiction, art historiography, cartoons, comics and caricatures, popular music and science fiction, beauty and ugliness. In short, Pop studies various aspects of the nature of art and what role it plays in the good life and the bad. ","[[('Ph.D. Harvard', 'ORG'), ('Art History', 'PERSON'), ('Antiquity', 'NORP'), ('Theatre', 'GPE'), ('the Painting of Henry Fuseli\xa0', 'ORG'), ('2015', 'DATE'), ('Henry Fuseli', 'PERSON'), ('Karl Rosenkranz’s', 'PERSON'), ('1853', 'DATE'), ('Aesthetics of Ugliness', 'ORG')], [('second', 'ORDINAL'), ('A Forest of Symbols', 'ORG'), ('the late nineteenth century', 'DATE')], [], [], [], [], []]",A Forest of Symbols
Nathan Tarcov,https://political-science.uchicago.edu/directory/nathan-tarcov,https://socialsciences.uchicago.edu/directory/nathan-tarcov,D Harvard,"[[('Harvard', 'ORG')]]",Harvard
Marco Garrido,https://sociology.uchicago.edu/directory/marco-garrido,https://socialsciences.uchicago.edu/directory/marco-garrido,University of Michigan,"[[('University of Michigan', 'ORG')]]",University of Michigan
Mennatallah Khalil,https://anthropology.uchicago.edu/people/graduate-students,https://socialsciences.uchicago.edu/directory/mennatallah-khalil,"Dr. Mennatallah Hassan Khalil is an anthropologist working on global militarization, the underlying assumption of military power as a precursor to modernization, and the logics of militarism in our world today. A scholar of the MENA region, she studies the intersection of seemingly secular and rational institutions of power with sacred traditions and practices in contemporary Egypt, attending to military authority’s relationship to the state, family, and civil society. Menna received her PhD from University of Chicago where she taught courses in the College, Anthropology, and Divinity School. She is currently appointed in the Self Core and Anthropology Department’s tracks on Neoliberalism, Historical Imagination, Postcoloniality, and Politics. Combining analytic and comparative methods, Menna teaches students to apply canonical texts while learning about past processes and problems of modernization, racialization, and colonization as fundamental to our everyday lives, intellectual histories, and present-day debates. Her current book analyzes militarization in Egypt since World War II through the rise of national security infrastructures, and its impact on civilian lives and political imaginations. Menna's new project focuses on the War on Terror’s transformation of local-global military relations and its reorientation of Egyptian personnel’s work ethic, sense of personhood, and individual worldview of military authority.","[[('Mennatallah Hassan Khalil', 'PERSON'), ('today', 'DATE')], [('MENA', 'ORG'), ('Egypt', 'GPE')], [], [('Menna', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('University of Chicago', 'ORG'), ('the College, Anthropology', 'ORG'), ('Divinity School', 'ORG')], [('the Self Core and Anthropology Department', 'ORG')], [('Neoliberalism, Historical Imagination', 'ORG'), ('Politics', 'NORP')], [('Menna', 'PERSON')], [('Egypt', 'GPE'), ('World War II', 'EVENT')], [('Menna', 'PERSON'), ('the War on Terror', 'EVENT'), ('Egyptian', 'NORP')]]","Neoliberalism, Historical Imagination"
Patrick Lewis,No Link,https://socialsciences.uchicago.edu/directory/patrick-lewis,"Dr. Mennatallah Hassan Khalil is an anthropologist working on global militarization, the underlying assumption of military power as a precursor to modernization, and the logics of militarism in our world today. A scholar of the MENA region, she studies the intersection of seemingly secular and rational institutions of power with sacred traditions and practices in contemporary Egypt, attending to military authority’s relationship to the state, family, and civil society. Menna received her PhD from University of Chicago where she taught courses in the College, Anthropology, and Divinity School. She is currently appointed in the Self Core and Anthropology Department’s tracks on Neoliberalism, Historical Imagination, Postcoloniality, and Politics. Combining analytic and comparative methods, Menna teaches students to apply canonical texts while learning about past processes and problems of modernization, racialization, and colonization as fundamental to our everyday lives, intellectual histories, and present-day debates. Her current book analyzes militarization in Egypt since World War II through the rise of national security infrastructures, and its impact on civilian lives and political imaginations. Menna's new project focuses on the War on Terror’s transformation of local-global military relations and its reorientation of Egyptian personnel’s work ethic, sense of personhood, and individual worldview of military authority.","[[('Mennatallah Hassan Khalil', 'PERSON'), ('today', 'DATE')], [('MENA', 'ORG'), ('Egypt', 'GPE')], [], [('Menna', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('University of Chicago', 'ORG'), ('the College, Anthropology', 'ORG'), ('Divinity School', 'ORG')], [('the Self Core and Anthropology Department', 'ORG')], [('Neoliberalism, Historical Imagination', 'ORG'), ('Politics', 'NORP')], [('Menna', 'PERSON')], [('Egypt', 'GPE'), ('World War II', 'EVENT')], [('Menna', 'PERSON'), ('the War on Terror', 'EVENT'), ('Egyptian', 'NORP')]]","Neoliberalism, Historical Imagination"
K. Bryce Lowry,https://www.nomadsciencemongolia.com/,https://socialsciences.uchicago.edu/directory/k-bryce-lowry,"NOMAD Science: Northern Mongolia Adventure and Discovery in Science is a registered 501(c)3 non-profit organization that organizes international, interdisciplinary research programs based in the remote, but stunningly beautiful Darkhad Depression, northern Mongolia.","[[('Science', 'GPE'), ('501(c)3', 'CARDINAL'), ('Darkhad Depression', 'PERSON'), ('Mongolia', 'GPE')]]",University of California
Erin  McFee,https://erinmcfee.com/,https://socialsciences.uchicago.edu/directory/erin-mcfee,"Erin K. McFee, Ph.D., is an anthropologist and Fulbright Scholar. She received her doctorate from the Department of Comparative Human Development at the University of Chicago and conducts field work in Colombia and Mexico on former members of non-state armed groups, trust-building,interventions, and bureaucracy. Her most recent co-edited volume,Ex-combatants and the Peace Accord with the FARC in Colombia: An Early Balance (Spanish),presents an interdisciplinary investigation into the first year of implementation of the reintegration component of the 2016 Peace Accord in Colombia. She is currently a Social Sciences Postdoctoral Teaching Fellow at The University of Chicago, and developing her dissertation into a book manuscript titledTrust after Betrayal: Social Life in the Aftermath of Atrocity.","[[('Erin K. McFee', 'PERSON'), ('Ph.D.', 'GPE')], [('the Department of Comparative Human Development', 'ORG'), ('the University of Chicago', 'ORG'), ('Colombia', 'GPE'), ('Mexico', 'GPE')], [('FARC', 'ORG'), ('Colombia', 'GPE'), ('the first year', 'DATE'), ('Colombia', 'GPE')], [('Social Sciences Postdoctoral Teaching Fellow', 'ORG'), ('The University of Chicago', 'ORG'), ('Betrayal', 'ORG')]]",Betrayal
Sayantan Saha Roy,https://anthropology.uchicago.edu/people/affiliates,https://socialsciences.uchicago.edu/directory/sayantan-saha-roy,"(PhD, New York University, 2018; Collegiate Assistant Professor, Social Sciences) sociocultural anthropology; socialism and capitalism; Islam; materiality and semiotics; Former Soviet Union; Central Asia; Tajikistan.","[[('PhD', 'WORK_OF_ART'), ('New York University', 'ORG'), ('2018', 'DATE'), ('Social Sciences', 'ORG'), ('Islam', 'ORG'), ('Soviet Union', 'GPE'), ('Central Asia', 'LOC'), ('Tajikistan', 'GPE')]]",Islam
Kristina Pagel,No Link,https://socialsciences.uchicago.edu/directory/kristina-pagel,"(PhD, New York University, 2018; Collegiate Assistant Professor, Social Sciences) sociocultural anthropology; socialism and capitalism; Islam; materiality and semiotics; Former Soviet Union; Central Asia; Tajikistan.","[[('PhD', 'WORK_OF_ART'), ('New York University', 'ORG'), ('2018', 'DATE'), ('Social Sciences', 'ORG'), ('Islam', 'ORG'), ('Soviet Union', 'GPE'), ('Central Asia', 'LOC'), ('Tajikistan', 'GPE')]]",Islam
Kelsey Robbins,No Link,https://socialsciences.uchicago.edu/directory/kelsey-robbins,"(PhD, New York University, 2018; Collegiate Assistant Professor, Social Sciences) sociocultural anthropology; socialism and capitalism; Islam; materiality and semiotics; Former Soviet Union; Central Asia; Tajikistan.","[[('PhD', 'WORK_OF_ART'), ('New York University', 'ORG'), ('2018', 'DATE'), ('Social Sciences', 'ORG'), ('Islam', 'ORG'), ('Soviet Union', 'GPE'), ('Central Asia', 'LOC'), ('Tajikistan', 'GPE')]]",Islam
Amy Coombs,https://history.uchicago.edu/directory/amy-coombs,https://socialsciences.uchicago.edu/directory/amy-coombs,"Amy Coombs focuses on economic history and agriculture. Prior to completing a PhD in eighteenth century British history at The University of Chicago, she earned an MS in Forestry and Natural Resources at Purdue. Her work bridges archival methods, data mining, GIS, and science writing. Her editorial features have appeared in Nature Biotechnology, the American Geophysical Union EoS, The Scientist Magazine, and other outlets. She is currently working on her first book to revise her dissertation work focusing on eighteenth century oilseed economies.

Learn more here.","[[('Amy Coombs', 'ORG')], [('PhD', 'FAC'), ('eighteenth century', 'DATE')], [('British', 'NORP'), ('The University of Chicago', 'ORG')], [('Forestry', 'GPE'), ('Natural Resources at Purdue', 'ORG')], [('GIS', 'ORG')], [('Nature Biotechnology', 'WORK_OF_ART'), ('the American Geophysical Union EoS', 'ORG'), ('The Scientist Magazine', 'ORG')], [('first', 'ORDINAL'), ('eighteenth century', 'DATE')], []]",The Scientist Magazine
Oliver Cussen,https://history.uchicago.edu/directory/oliver-cussen,https://socialsciences.uchicago.edu/directory/oliver-cussen,Still Working on This,[[]],University of California
Lily Huang,No Link,https://socialsciences.uchicago.edu/directory/lily-huang,Lily Huang is an MA Teaching Fellow specializing in History and History of Science. She earned a PhD in History of Science from the University of Chicago and an AB in History and Literature from Harvard University.,"[[('Lily Huang', 'PERSON'), ('MA Teaching Fellow', 'ORG'), ('History and History of Science', 'FAC')], [('PhD', 'WORK_OF_ART'), ('the University of Chicago', 'ORG'), ('Harvard University', 'ORG')]]",Harvard University
Jaewoong Jeon,https://history.uchicago.edu/directory/jaewoong-jeon,https://socialsciences.uchicago.edu/directory/jaewoong-jeon,"Jaewoong is a Social Science Teaching Fellow in the Department of History and the College. His work focuses on the history of capitalism in Korea and Taiwan, approaching them from the perspective of contemporary issues in the capitalist world. His many interests include precarity and creativity within the current mode of global economy, addictive commodities such as tobacco and sugar, comparative world history, and the Confucian classics. Before his PhD in history, he studied anthropology at the University of Chicago, area studies at Seoul National University, and economics at Chung-Ang University in Korea.","[[('Jaewoong', 'ORG'), ('a Social Science Teaching Fellow', 'ORG'), ('the Department of History', 'ORG')], [('Korea', 'GPE'), ('Taiwan', 'GPE')], [('Confucian', 'NORP')], [('PhD', 'WORK_OF_ART'), ('the University of Chicago', 'ORG'), ('Seoul National University', 'ORG'), ('Chung-Ang University', 'ORG'), ('Korea', 'GPE')]]",Chung-Ang University
Robert Kaminski,https://history.uchicago.edu/directory/robert-kaminski,https://socialsciences.uchicago.edu/directory/robert-kaminski,Still Working on This,[[]],University of California
Christopher Kindell,https://history.uchicago.edu/directory/christopher-kindell,https://socialsciences.uchicago.edu/directory/christopher-kindell,Still Working on This,[[]],University of California
Daniel Knorr,https://voices.uchicago.edu/danielknorr/,https://socialsciences.uchicago.edu/directory/daniel-knorr,Still Working on This,[[]],University of California
Zachary Leonard,https://history.uchicago.edu/directory/zachary-leonard,https://socialsciences.uchicago.edu/directory/zachary-leonard,Still Working on This,[[]],University of California
Naama Maor,https://history.uchicago.edu/directory/naama-maor,https://socialsciences.uchicago.edu/directory/naama-maor,"Naama Maor specializes in the legal and social history of the United States. Her work examines intersections between social policy and criminal justice reform, uncovering the interconnected origins of the welfare state and the carceral state.Her manuscript, tentatively titled “Delinquent Parents: Punitive Welfare and the Creation of American Juvenile Justice, 1899-1927” traces the production of the category of parental delinquency through the study and criminalization of adults by an emerging juvenile justice regime. Maor earned her PhD in history from the University of Chicago (2020). Her research has been supported by the American Society for Legal History, the William Nelson Cromwell Foundation, and the University of Chicago. Her scholarship has earned the Stanford Center for Law and History Graduate Student Paper Prize. As a Teaching Fellow in the Social Sciences, Maor teaches courses on the carceral state, childhood, and human rights.","[[('Naama Maor', 'ORG'), ('the United States', 'GPE')], [], [('Delinquent Parents: Punitive Welfare', 'WORK_OF_ART'), ('American Juvenile Justice', 'ORG'), ('1899-1927', 'DATE')], [('Maor', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('the University of Chicago', 'ORG')], [('the American Society for Legal History', 'ORG'), ('the William Nelson Cromwell Foundation', 'ORG'), ('the University of Chicago', 'ORG')], [('the Stanford Center for Law and History Graduate Student Paper Prize', 'ORG')], [('a Teaching Fellow', 'PERSON'), ('the Social Sciences', 'ORG'), ('Maor', 'GPE')]]",the Social Sciences
Yasmeen Mekawy,https://political-science.uchicago.edu/directory/yasmeen-mekawy,https://socialsciences.uchicago.edu/directory/yasmeen-mekawy,"Dr. Yasmeen Mekawy received her PhD in Political Science from the University of Chicago and will be teaching on contentious politics and popular culture in the Middle East as well as emotions and discourse analysis in Global Studies. Specializing in comparative politics of the Middle East, her work examines broadly political life in authoritarian regimes, and specifically the emotional dynamics of collective action and the role of media in the construction of political discourse and collective identity. Her current book project analyzes the role of emotions and transformative events through social media and ethnographic fieldwork in mobilizing the 2011 Egyptian uprising. ","[[('Yasmeen Mekawy', 'PERSON'), ('PhD', 'WORK_OF_ART'), ('the University of Chicago', 'ORG'), ('the Middle East', 'LOC'), ('Global Studies', 'ORG')], [('the Middle East', 'LOC')], [('2011', 'DATE'), ('Egyptian', 'NORP')]]",Global Studies
